sku,name,description,category,sub_type,weight,stackable,max_stack,equippable,equip_slot,damage_min,damage_max,armor_rating,durability_max,consumable,charges_max,effects,tags
scroll-0061,Light Composite Scroll,Light Composite Scroll: a books item used in various contexts.,books,scroll,0.99,0,1,0,,,,,,0,,,"[""uncommon""]"
padded_gloves-0062,Cursed Padded Gloves of Fortune,Padded Gloves of Fortune: a armor item used in various contexts.,armor,padded_gloves,0.53,0,1,1,torso,,,17,62,0,,,"[""common"", ""armor""]"
ration_pack-0063,Ration Pack of Might,Ration Pack of Might: a survival item used in various contexts.,survival,ration_pack,5.23,0,1,0,,,,,,0,,,"[""common""]"
antimatter_vial-0064,Wood Antimatter Vial Quantum QX-30,Wood Antimatter Vial Quantum QX-30: a sci_fi item used in various contexts.,sci_fi,antimatter_vial,7.69,0,1,1,back,,,,,0,,,"[""uncommon"", ""sci-fi""]"
obsidian_shard-0065,Obsidian Shard of Might,Obsidian Shard of Might: a materials item used in various contexts.,materials,obsidian_shard,10.16,0,1,0,,,,,,0,,,"[""uncommon""]"
railgun_carbine-0066,Polymer Railgun Carbine Ion-charged ZX-2,Polymer Railgun Carbine Ion-charged ZX-2: a sci_fi item used in various contexts.,sci_fi,railgun_carbine,10.39,0,1,1,hands,,,,,0,,,"[""common"", ""sci-fi""]"
quantum_battery-0067,Wood Quantum Battery Corvus-series ZX-87,Wood Quantum Battery Corvus-series ZX-87: a sci_fi item used in various contexts.,sci_fi,quantum_battery,9.23,0,1,1,back,,,,,0,,,"[""common"", ""sci-fi""]"
tinder-0068,"Tinder of Swiftness, Epic","Tinder of Swiftness, Epic: a survival item used in various contexts.",survival,tinder,9.46,0,1,0,,,,,,0,,,"[""epic""]"
rug-0069,"Rug of Swiftness, Legendary","Rug of Swiftness, Legendary: a household item used in various contexts.",household,rug,1.0,0,1,0,,,,,,0,,,"[""legendary""]"
granola_bar-0070,Granola Bar of Fortune,Granola Bar of Fortune: a food_drink item used in various contexts.,food_drink,granola_bar,1.57,0,1,0,,,,,,0,,,"[""common""]"
dart_launcher-0071,Arcane Dart Launcher of Fortune,Dart Launcher of Fortune: a weapon item used in various contexts.,weapon,dart_launcher,2.73,0,1,1,hands,9,12,,34,0,,,"[""common"", ""weapon""]"
collar_metal-0072,Collar Metal of Fortune,Collar Metal of Fortune: a jewelry item used in various contexts.,jewelry,collar_metal,8.93,0,1,0,,,,,,0,,"{""charisma"": 0.05}","[""fashion"", ""value"", ""common""]"
fighting_knife-0073,Fighting Knife of Fortune,Fighting Knife of Fortune: a weapon item used in various contexts.,weapon,fighting_knife,10.83,0,1,1,back,4,10,,173,0,,,"[""rare"", ""weapon""]"
energy_cell-0074,Mithril Energy Cell Mk II QX-73,Mithril Energy Cell Mk II QX-73: a sci_fi item used in various contexts.,sci_fi,energy_cell,0.92,1,1,0,,,,,,1,,"{""energy"": 413}","[""common"", ""power""]"
scroll-0075,Scroll of Swiftness,Scroll of Swiftness: a books item used in various contexts.,books,scroll,1.41,0,1,0,,,,,,0,,,"[""common""]"
winch-0076,Blessed Composite Winch,Blessed Composite Winch: a tool item used in various contexts.,tool,winch,8.97,0,1,0,,,,,,0,,,"[""tool"", ""common""]"
magnet_pickup-0077,Magnet Pickup of Might,Magnet Pickup of Might: a tool item used in various contexts.,tool,magnet_pickup,0.47,0,1,0,,,,,,0,,,"[""tool"", ""epic""]"
travel_log-0078,Travel Log of Fortune,Travel Log of Fortune: a books item used in various contexts.,books,travel_log,7.63,0,1,0,,,,,,0,,,"[""uncommon""]"
stealth_field-0079,Steel Stealth Field Quantum QX-56,Steel Stealth Field Quantum QX-56: a sci_fi item used in various contexts.,sci_fi,stealth_field,10.67,0,1,1,hands,,,,,0,,,"[""uncommon"", ""sci-fi""]"
windproof_lighter-0080,Windproof Lighter of Swiftness,Windproof Lighter of Swiftness: a survival item used in various contexts.,survival,windproof_lighter,8.96,0,1,0,,,,,,0,,,"[""common""]"
tachyon_module-0081,Polymer Tachyon Module Mk I NX-93,Polymer Tachyon Module Mk I NX-93: a sci_fi item used in various contexts.,sci_fi,tachyon_module,11.62,0,1,1,back,,,,,0,,,"[""common"", ""sci-fi""]"
insoles-0082,Cursed Light Composite Insoles,Light Composite Insoles: a clothing item used in various contexts.,clothing,insoles,7.35,0,1,1,neck,,,1,,0,,,"[""wearable"", ""common""]"
phase_core-0083,Polymer Phase Core Ion-charged VX-96,Polymer Phase Core Ion-charged VX-96: a sci_fi item used in various contexts.,sci_fi,phase_core,2.66,0,1,1,hands,,,,,0,,,"[""common"", ""sci-fi""]"
neck_gaiter-0084,Neck Gaiter of Might,Neck Gaiter of Might: a clothing item used in various contexts.,clothing,neck_gaiter,7.98,0,1,1,feet,,,1,,0,,,"[""wearable"", ""uncommon""]"
bio_scanner-0085,Obsidian Bio Scanner Ion-charged QX-51,Obsidian Bio Scanner Ion-charged QX-51: a sci_fi item used in various contexts.,sci_fi,bio_scanner,0.75,1,5,0,,,,,,1,,"{""energy"": 392}","[""common"", ""power""]"
whip-0086,Whip of Swiftness,Whip of Swiftness: a weapon item used in various contexts.,weapon,whip,4.83,0,1,1,back,12,17,,39,0,,,"[""common"", ""weapon""]"
war_club-0087,War Club of Swiftness,War Club of Swiftness: a weapon item used in various contexts.,weapon,war_club,5.3,0,1,1,back,8,16,,53,0,,,"[""common"", ""weapon""]"
box_cutter-0088,Box Cutter of Might,Box Cutter of Might: a tool item used in various contexts.,tool,box_cutter,8.76,0,1,0,,,,,,0,,,"[""tool"", ""common""]"
wood_bundle-0089,Wood Bundle of Fortune,Wood Bundle of Fortune: a crafting item used in various contexts.,crafting,wood_bundle,9.14,0,1,0,,,,,,0,,,"[""common""]"
cheese_hard-0090,Cheese Hard of Fortune of Swiftness,Cheese Hard of Fortune: a food_drink item used in various contexts.,food_drink,cheese_hard,3.7,0,1,0,,,,,,0,,,"[""common""]"
jerky-0091,Jerky of Might,Jerky of Might: a food_drink item used in various contexts.,food_drink,jerky,7.01,0,1,0,,,,,,0,,,"[""uncommon""]"
tabi-0092,Tabi of Swiftness,Tabi of Swiftness: a clothing item used in various contexts.,clothing,tabi,9.75,0,1,1,neck,,,0,,0,,,"[""wearable"", ""common""]"
etheric_band-0093,Stalwart Etheric Band of Storms,Etheric Band of Storms: a fantasy item used in various contexts.,fantasy,etheric_band,8.18,0,1,0,,,,,,0,,,"[""common"", ""fantasy""]"
plasma_valve-0094,Obsidian Plasma Valve Ion-charged NX-17,Obsidian Plasma Valve Ion-charged NX-17: a sci_fi item used in various contexts.,sci_fi,plasma_valve,1.11,0,1,0,,,,,,0,,,"[""epic"", ""sci-fi""]"
candle-0095,Candle of Swiftness,Candle of Swiftness: a household item used in various contexts.,household,candle,4.41,0,1,0,,,,,,0,,,"[""uncommon""]"
hood-0096,Blessed Steel Hood,Blessed Steel Hood: a clothing item used in various contexts.,clothing,hood,7.98,0,1,1,hands,,,0,,0,,,"[""wearable"", ""common""]"
annotated_map-0097,Rusted Composite Annotated Map,Rusted Composite Annotated Map: a books item used in various contexts.,books,annotated_map,11.64,0,1,0,,,,,,0,,,"[""common""]"
superconductor-0098,Superconductor of Might,Superconductor of Might: a materials item used in various contexts.,materials,superconductor,9.26,0,1,0,,,,,,0,,,"[""common""]"
biolock_patch-0099,Alloy Biolock Patch Mk I ZX-71,Alloy Biolock Patch Mk I ZX-71: a sci_fi item used in various contexts.,sci_fi,biolock_patch,8.57,0,1,0,,,,,,0,,,"[""common"", ""sci-fi""]"
chisels-0100,Chisels of Swiftness,Chisels of Swiftness: a tool item used in various contexts.,tool,chisels,4.82,0,1,0,,,,,,0,,,"[""tool"", ""rare""]"
water_test_kit-0101,Water Test Kit of Might,Water Test Kit of Might: a survival item used in various contexts.,survival,water_test_kit,8.38,0,1,0,,,,,,0,,,"[""curse:-hp"", ""uncommon""]"
trail_mix-0102,Trail Mix of Swiftness,Trail Mix of Swiftness: a food_drink item used in various contexts.,food_drink,trail_mix,2.93,0,1,0,,,,,,0,,,"[""epic""]"
cocoa_powder-0103,Experimental Iron Cocoa Powder of Heroes,Experimental Iron Cocoa Powder: a food_drink item used in various contexts.,food_drink,cocoa_powder,8.65,0,1,0,,,,,,0,,,"[""common""]"
safety_goggles-0104,Blessed Ceramic Safety Goggles,Blessed Ceramic Safety Goggles: a tool item used in various contexts.,tool,safety_goggles,4.75,0,1,0,,,,,,0,,,"[""tool"", ""curse:-hp"", ""common""]"
dry_rations-0105,Dry Rations of Swiftness,Dry Rations of Swiftness: a survival item used in various contexts.,survival,dry_rations,0.63,0,1,0,,,,,,0,,,"[""common""]"
dry_rations-0106,Blessed Dry Rations of Swiftness,Dry Rations of Swiftness: a survival item used in various contexts.,survival,dry_rations,3.59,0,1,0,,,,,,0,,,"[""common""]"
lathe_bed-0107,Stalwart Lathe Bed of Might,Lathe Bed of Might: a crafting item used in various contexts.,crafting,lathe_bed,10.36,0,1,0,,,,,,0,,,"[""common""]"
scythe_war-0108,Scythe War of Might,Scythe War of Might: a weapon item used in various contexts.,weapon,scythe_war,11.1,0,1,1,hands,10,12,,30,0,,,"[""common"", ""weapon""]"
kite_shield-0109,Kite Shield of Swiftness of Heroes,Kite Shield of Swiftness: a armor item used in various contexts.,armor,kite_shield,8.31,0,1,1,torso,,,5,191,0,,,"[""common"", ""armor""]"
micro_reactor-0110,Polymer Micro Reactor Ion-charged VX-19,Polymer Micro Reactor Ion-charged VX-19: a sci_fi item used in various contexts.,sci_fi,micro_reactor,8.17,0,1,1,hands,,,,,0,,,"[""common"", ""sci-fi""]"
dark_matter_cell-0111,Steel Dark Matter Cell Prototype QX-68,Steel Dark Matter Cell Prototype QX-68: a sci_fi item used in various contexts.,sci_fi,dark_matter_cell,4.84,0,1,1,back,,,,,0,,,"[""common"", ""sci-fi""]"
forge_coal-0112,Forge Coal of Swiftness,Forge Coal of Swiftness: a crafting item used in various contexts.,crafting,forge_coal,1.56,0,1,0,,,,,,0,,,"[""common""]"
vibro_knife-0113,Steel Vibro Knife Mk II ZX-39,Steel Vibro Knife Mk II ZX-39: a sci_fi item used in various contexts.,sci_fi,vibro_knife,8.57,0,1,1,back,,,,,0,,,"[""uncommon"", ""sci-fi""]"
hand_axe-0114,Heavy Alloy Hand Axe,Heavy Alloy Hand Axe: a tool item used in various contexts.,tool,hand_axe,7.38,0,1,0,,,,,,0,,,"[""tool"", ""common""]"
jerky-0115,Experimental Mithril Jerky,Experimental Mithril Jerky: a food_drink item used in various contexts.,food_drink,jerky,5.45,0,1,0,,,,,,0,,,"[""common""]"
lining-0116,Light Iron Lining,Light Iron Lining: a clothing item used in various contexts.,clothing,lining,6.27,0,1,1,torso,,,1,,0,,,"[""wearable"", ""common""]"
soldering_iron-0117,Fine Ceramic Soldering Iron,Fine Ceramic Soldering Iron: a tool item used in various contexts.,tool,soldering_iron,7.54,0,1,0,,,,,,0,,,"[""tool"", ""uncommon""]"
logic_matrix-0118,Glass Logic Matrix Mk I VX-11,Glass Logic Matrix Mk I VX-11: a sci_fi item used in various contexts.,sci_fi,logic_matrix,11.39,1,20,0,,,,,,1,,"{""energy"": 289}","[""common"", ""power""]"
heater_shield-0119,Arcane Heater Shield of Might,Heater Shield of Might: a armor item used in various contexts.,armor,heater_shield,0.97,0,1,1,legs,,,14,122,0,,,"[""common"", ""armor""]"
sweater-0120,Rusted Steel Sweater,Rusted Steel Sweater: a clothing item used in various contexts.,clothing,sweater,5.65,0,1,1,torso,,,0,,0,,,"[""wearable"", ""common""]"
stew_packet-0121,Stew Packet of Swiftness,Stew Packet of Swiftness: a food_drink item used in various contexts.,food_drink,stew_packet,9.18,0,1,0,,,,,,0,,,"[""rare""]"
herbal_concoction-0122,Ancient Herbal Concoction of Shadows,Ancient Herbal Concoction of Shadows: a fantasy item used in various contexts.,fantasy,herbal_concoction,5.99,0,1,1,torso,,,,,0,,,"[""common"", ""fantasy""]"
glaive-0123,Glaive of Fortune,Glaive of Fortune: a weapon item used in various contexts.,weapon,glaive,3.53,0,1,1,hands,7,10,,105,0,,,"[""common"", ""weapon""]"
filament-0124,Heavy Mithril Filament,Heavy Mithril Filament: a crafting item used in various contexts.,crafting,filament,2.47,0,1,0,,,,,,0,,,"[""common""]"
spirit_feather-0125,Spirit Feather of Storms,Spirit Feather of Storms: a fantasy item used in various contexts.,fantasy,spirit_feather,2.03,0,1,1,head,,,,,0,,,"[""common"", ""fantasy""]"
dart_launcher-0126,Dart Launcher of Fortune,Dart Launcher of Fortune: a weapon item used in various contexts.,weapon,dart_launcher,10.48,0,1,1,hands,1,7,,53,0,,,"[""common"", ""weapon""]"
celestial_compass-0127,Moon-Touched Celestial Compass,Moon-Touched Celestial Compass: a fantasy item used in various contexts.,fantasy,celestial_compass,0.48,0,1,1,hands,,,,,0,,"{""stun"": 0.178}","[""uncommon"", ""fantasy""]"
dreamcatcher-0128,Sunforged Dreamcatcher,Sunforged Dreamcatcher: a fantasy item used in various contexts.,fantasy,dreamcatcher,3.83,0,1,1,head,,,,,0,,"{""magic_power"": 0.11}","[""common"", ""fantasy""]"
fusion_core-0129,Obsidian Fusion Core Mk II ZX-91,Obsidian Fusion Core Mk II ZX-91: a sci_fi item used in various contexts.,sci_fi,fusion_core,5.92,0,1,1,back,,,,,0,,,"[""epic"", ""sci-fi""]"
plank-0130,Compact Obsidian Plank,Compact Obsidian Plank: a crafting item used in various contexts.,crafting,plank,4.22,0,1,0,,,,,,0,,,"[""common""]"
watering_can-0131,Cursed Steel Watering Can,Cursed Steel Watering Can: a household item used in various contexts.,household,watering_can,2.99,0,1,0,,,,,,0,,,"[""common""]"
water_purifier-0132,Ancient Leather Water Purifier,Ancient Leather Water Purifier: a survival item used in various contexts.,survival,water_purifier,4.94,0,1,0,,,,,,0,,,"[""uncommon""]"
cuirass-0133,"Experimental Steel Cuirass, Epic","Experimental Steel Cuirass, Epic: a armor item used in various contexts.",armor,cuirass,8.71,0,1,1,torso,,,15,146,0,,,"[""epic"", ""armor""]"
balaclava-0134,"Ancient Obsidian Balaclava, Legendary","Ancient Obsidian Balaclava, Legendary: a clothing item used in various contexts.",clothing,balaclava,7.27,0,1,1,legs,,,1,,0,,,"[""wearable"", ""legendary""]"
spirit_jar-0135,Rusted Spirit Jar of the Magus,Rusted Spirit Jar of the Magus: a fantasy item used in various contexts.,fantasy,spirit_jar,5.56,0,1,0,,,,,,0,,,"[""common"", ""fantasy""]"
phase_core-0136,Ceramic Phase Core Corvus-series VX-52,Ceramic Phase Core Corvus-series VX-52: a sci_fi item used in various contexts.,sci_fi,phase_core,1.24,0,1,0,,,,,,0,,,"[""curse:-slow"", ""rare"", ""sci-fi""]"
scale_boots-0137,Rusted Polymer Scale Boots,Rusted Polymer Scale Boots: a armor item used in various contexts.,armor,scale_boots,0.84,0,1,1,legs,,,6,183,0,,,"[""common"", ""armor""]"
chest-0138,Sturdy Wood Chest,Sturdy Wood Chest: a household item used in various contexts.,household,chest,5.79,0,1,0,,,,,,0,,,"[""common""]"
circuit_board-0139,Heavy Polymer Circuit Board,Heavy Polymer Circuit Board: a crafting item used in various contexts.,crafting,circuit_board,6.35,0,1,0,,,,,,0,,,"[""uncommon""]"
grimoire-0140,Grimoire of Fortune,Grimoire of Fortune: a books item used in various contexts.,books,grimoire,5.36,0,1,0,,,,,,0,,,"[""common""]"
pickaxe-0141,Cursed Alloy Pickaxe of the Magus,Cursed Alloy Pickaxe: a tool item used in various contexts.,tool,pickaxe,6.75,0,1,0,,,,,,0,,,"[""tool"", ""common""]"
tape_measure-0142,Ancient Ceramic Tape Measure,Ancient Ceramic Tape Measure: a tool item used in various contexts.,tool,tape_measure,11.84,0,1,0,,,,,,0,,,"[""tool"", ""uncommon""]"
leather_strip-0143,"Leather Strip of Might, Artifact","Leather Strip of Might, Artifact: a materials item used in various contexts.",materials,leather_strip,11.57,0,1,0,,,,,,0,,,"[""artifact""]"
whip-0144,Light Wood Whip,Light Wood Whip: a weapon item used in various contexts.,weapon,whip,9.1,0,1,1,hands,7,12,,49,0,,,"[""uncommon"", ""weapon""]"
